Rk,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,League,Season,TeamID
31,Everton,24,10.0,16,134,40,29.9,13.4,4.0,0.1,0.33,16.5,3,3,3,14.3,12.0,0.09,0.7,0.0,Premier League,2021-2022,57482013681231466
32,Fiorentina,24,11.0,16,138,49,35.5,12.55,4.45,0.08,0.22,18.1,5,5,5,15.4,11.8,0.09,0.6,-0.8,Serie A,2021-2022,24325362613855847
33,Freiburg,23,10.0,15,123,44,35.8,12.3,4.4,0.11,0.3,15.8,4,2,2,13.3,11.8,0.1,1.7,1.2,Bundesliga,2021-2022,17577284562417651
34,Genoa,30,11.0,15,132,36,27.3,12.0,3.27,0.08,0.31,18.6,6,4,4,13.5,10.5,0.08,1.5,0.5,Serie A,2021-2022,87033800759594150
35,Getafe,26,12.0,6,131,32,24.4,10.92,2.67,0.05,0.19,20.6,13,0,1,8.0,7.2,0.06,-2.0,-1.2,La Liga,2021-2022,23789167582387071
36,Granada,25,11.0,11,98,29,29.6,8.91,2.64,0.1,0.34,19.1,3,1,2,7.5,6.0,0.06,0.5,1.0,La Liga,2021-2022,45137124328012624
37,Greuther Fürth,25,10.0,7,98,33,33.7,9.8,3.3,0.04,0.12,18.3,2,3,3,10.6,8.4,0.09,-3.6,-4.4,Bundesliga,2021-2022,11035944553035865
38,Hellas Verona,24,11.0,24,105,42,40.0,9.55,3.82,0.19,0.48,16.5,3,4,4,15.5,12.4,0.12,8.5,7.6,Serie A,2021-2022,45227680351245381
39,Hertha BSC,27,10.0,10,93,36,38.7,9.3,3.6,0.1,0.25,17.6,6,1,1,10.1,9.3,0.11,-0.1,-0.3,Bundesliga,2021-2022,59737400018465050
40,Hoffenheim,22,10.0,19,119,39,32.8,11.9,3.9,0.16,0.49,14.4,5,0,0,17.0,17.0,0.15,2.0,2.0,Bundesliga,2021-2022,29322720181807625
41,Inter,23,11.0,28,166,61,36.7,15.09,5.55,0.16,0.43,15.0,3,2,3,21.9,19.6,0.12,6.1,6.4,Serie A,2021-2022,53198597771575973
