Rk,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,League,Season,TeamID
84,Spezia,35,38.0,599,15.76,436,46,33,39,27,18,79,2.08,50,6,4,12,6,1,Serie A,2020-2021,41730244034743257
85,Strasbourg,26,38.0,609,16.03,401,73,35,47,36,17,71,1.87,44,5,3,11,6,2,Ligue 1,2020-2021,92234479374253707
86,Stuttgart,29,34.0,752,22.12,531,71,44,44,42,20,98,2.88,64,7,7,7,9,4,Bundesliga,2020-2021,81761661302668293
87,Torino,29,38.0,691,18.18,441,72,40,48,62,28,76,2.0,44,6,2,12,9,3,Serie A,2020-2021,21846272194836439
88,Tottenham,24,38.0,716,18.84,498,53,50,36,57,22,110,2.89,78,6,10,7,6,3,Premier League,2020-2021,22006624071753704
89,Udinese,33,38.0,622,16.37,450,53,41,27,36,15,74,1.95,50,4,8,4,5,3,Serie A,2020-2021,48393495896639342
90,Union Berlin,27,34.0,594,17.47,421,64,26,29,37,17,85,2.5,58,8,3,4,8,4,Bundesliga,2020-2021,71630543971501382
91,Valencia,30,38.0,608,16.0,433,49,43,24,48,11,83,2.18,55,8,6,5,8,1,La Liga,2020-2021,65158650443085242
92,Valladolid,32,38.0,581,15.29,420,45,29,23,50,14,54,1.42,35,2,4,3,8,2,La Liga,2020-2021,44089518275887893
93,Villarreal,29,38.0,682,17.95,530,38,48,23,34,9,96,2.53,67,3,11,7,7,1,La Liga,2020-2021,63335634096533483
94,Werder Bremen,27,34.0,537,15.79,379,53,29,29,37,10,58,1.71,39,7,0,4,5,3,Bundesliga,2020-2021,59303898890876434
95,West Brom,30,38.0,504,13.26,355,57,29,22,33,8,58,1.53,42,3,1,4,5,3,Premier League,2020-2021,26775906631723373
96,West Ham,24,38.0,728,19.16,505,83,31,50,51,8,94,2.47,59,13,0,15,7,0,Premier League,2020-2021,57680956417459581
97,Wolfsburg,26,34.0,702,20.65,517,59,30,43,35,18,94,2.76,70,4,4,9,5,2,Bundesliga,2020-2021,85159484018358879
98,Wolves,27,38.0,748,19.68,506,71,66,38,46,21,56,1.47,31,4,8,8,5,0,Premier League,2020-2021,24001928852251903
1,Alavés,32,38.0,465,12.24,295,72,20,27,40,11,53,1.39,31,7,1,6,7,1,La Liga,2019-2020,37745278530914180
2,Amiens,27,28.0,364,13.0,256,27,28,11,29,13,53,1.89,34,0,6,4,6,3,Ligue 1,2019-2020,20069478421376018
3,Angers,26,28.0,552,19.71,399,57,35,23,28,10,46,1.64,35,2,3,3,3,0,Ligue 1,2019-2020,66587352409382849
4,Arsenal,29,38.0,632,16.63,436,57,50,36,36,17,86,2.26,57,4,4,9,4,8,Premier League,2019-2020,5838645288327307
