Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,League,Season,PlayerID
155,Baptiste Reynet,FRA,GK,Dijon,26,1990,38,38,3420,38.0,73,1.92,198,139,68.7,13,9,16,5,13.2,15,11,3,1,21.4,Ligue 1,2017-2018,7894754010
156,Sergio Rico,ESP,GK,Sevilla,23,1993,24,23,2155,24.0,39,1.63,90,54,60.0,10,3,10,9,39.1,5,3,1,1,25.0,La Liga,2017-2018,97302701843
157,Asier Riesgo,ESP,GK,Eibar,33,1983,1,1,90,1.0,1,1.00,4,3,75.0,1,0,0,0,0.0,0,0,0,0,0,La Liga,2017-2018,27538021769
158,Roberto,ESP,GK,Málaga,31,1986,34,34,3060,34.0,51,1.50,144,97,67.4,5,5,24,6,17.6,5,4,1,0,20.0,La Liga,2017-2018,70006454730
159,Sergio Romero,ARG,GK,Manchester Utd,30,1987,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,0,Premier League,2017-2018,78595806291
160,Francesco Rossi,ITA,GK,Atalanta,26,1991,1,0,8,0.1,1,11.25,2,1,50.0,0,0,0,0,0,0,0,0,0,0,Serie A,2017-2018,72957576788
161,Rubén,ESP,GK,La Coruña,33,1984,28,27,2477,27.5,58,2.11,137,83,59.1,3,9,15,4,14.8,3,2,1,0,33.3,La Liga,2017-2018,99631169353
162,Stéphane Ruffier,FRA,GK,Saint-Étienne,30,1986,35,35,3113,34.6,44,1.27,150,112,74.0,14,10,11,12,34.3,6,5,1,0,16.7,Ligue 1,2017-2018,32424578998
163,Gerónimo Rulli,ARG,GK,Real Sociedad,25,1992,26,26,2340,26.0,45,1.73,100,60,59.0,10,5,11,6,23.1,5,4,1,0,20.0,La Liga,2017-2018,83490696770
164,Mathew Ryan,AUS,GK,Brighton,25,1992,38,38,3420,38.0,54,1.42,171,121,69.0,9,13,16,10,26.3,3,1,2,0,66.7,Premier League,2017-2018,13160246233
165,Mamadou Samassa,MLI,GK,Troyes,27,1990,21,21,1890,21.0,31,1.48,108,81,73.1,6,3,12,5,23.8,3,2,1,0,33.3,Ligue 1,2017-2018,39013314457
166,Brice Samba,CGO,GK,Caen,23,1994,4,3,316,3.5,4,1.14,18,15,83.3,1,1,1,2,66.7,1,1,0,0,0.0,Ligue 1,2017-2018,34803673575
167,Antonio Santurro,ITA,GK,Bologna,25,1992,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,0,Serie A,2017-2018,12283540350
168,Kasper Schmeichel,DEN,GK,Leicester City,30,1986,33,33,2965,32.9,47,1.43,137,91,66.4,11,10,12,8,24.2,3,1,2,0,66.7,Premier League,2017-2018,73577312735
169,Alexander Schwolow,GER,GK,Freiburg,25,1992,33,33,2906,32.3,53,1.64,142,97,65.5,7,11,14,9,27.3,5,4,0,1,0.0,Bundesliga,2017-2018,28821244590
170,Simone Scuffet,ITA,GK,Udinese,21,1996,6,6,540,6.0,11,1.83,26,16,57.7,1,0,5,1,16.7,1,0,1,0,100.0,Serie A,2017-2018,14074184929
171,Luigi Sepe,ITA,GK,Napoli,26,1991,1,1,90,1.0,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,0,Serie A,2017-2018,76012926464
