Rk,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,League,Season,TeamID
41,Köln,1,34,34,3060,34.0,69,2.03,152,87,57.2,10,6,18,6,17.6,6,4,2,0,33.3,Bundesliga,2019-2020,39731782814123330
42,Lazio,1,38,38,3420,38.0,42,1.11,145,111,75.9,24,6,8,11,28.9,9,7,1,1,12.5,Serie A,2019-2020,90751438076496109
43,Lecce,2,38,38,3420,38.0,85,2.24,244,172,69.7,9,8,21,3,7.9,13,11,2,0,15.4,Serie A,2019-2020,92912790925867566
44,Leganés,2,38,38,3419,38.0,51,1.34,133,89,66.2,8,12,18,9,23.7,7,6,1,0,14.3,La Liga,2019-2020,20237473683555152
45,Leicester City,1,38,38,3420,38.0,41,1.08,126,95,73.8,18,8,12,13,34.2,10,8,2,0,20.0,Premier League,2019-2020,18776461863573874
46,Levante,2,38,38,3420,38.0,53,1.39,211,160,76.3,14,7,17,6,15.8,7,3,3,1,50.0,La Liga,2019-2020,1566092639264277
47,Leverkusen,1,34,34,3060,34.0,44,1.29,137,92,69.3,19,6,9,10,29.4,2,2,0,0,0.0,Bundesliga,2019-2020,36794408106212849
48,Lille,1,28,28,2520,28.0,27,0.96,78,58,70.5,15,4,9,12,42.9,6,4,1,1,20.0,Ligue 1,2019-2020,85603837513355486
49,Liverpool,2,38,38,3418,38.0,33,0.87,107,75,70.1,32,3,3,15,39.5,1,1,0,0,0.0,Premier League,2019-2020,41956650829873911
50,Lyon,2,28,28,2520,28.0,27,0.96,96,73,74.0,11,7,10,9,32.1,3,2,0,1,0.0,Ligue 1,2019-2020,87005642993871754
51,M'Gladbach,1,34,34,3060,34.0,40,1.18,152,110,74.3,20,5,9,7,20.6,2,1,1,0,50.0,Bundesliga,2019-2020,81611584009946193
52,Mainz 05,2,34,34,3060,34.0,65,1.91,177,116,65.0,11,4,19,5,14.7,5,3,2,0,40.0,Bundesliga,2019-2020,71158960989778912
53,Mallorca,3,38,38,3420,38.0,65,1.71,174,123,71.3,9,6,23,5,13.2,16,15,1,0,6.3,La Liga,2019-2020,96459977719332900
54,Manchester City,2,38,38,3418,38.0,35,0.92,107,73,70.1,26,3,9,17,44.7,3,3,0,0,0.0,Premier League,2019-2020,74026506610392765
55,Manchester Utd,1,38,38,3420,38.0,36,0.95,125,92,73.6,18,12,8,13,34.2,3,3,0,0,0.0,Premier League,2019-2020,29078730489839024
56,Marseille,2,28,28,2520,28.0,29,1.04,97,75,74.2,16,8,4,11,39.3,5,4,1,0,20.0,Ligue 1,2019-2020,66190039714113630
57,Metz,2,28,28,2520,28.0,35,1.25,132,101,76.5,8,10,10,8,28.6,4,4,0,0,0.0,Ligue 1,2019-2020,14635757597311544
58,Milan,3,38,38,3420,38.0,46,1.21,145,105,71.7,19,9,10,12,31.6,10,5,5,0,50.0,Serie A,2019-2020,59378513948613436
59,Monaco,1,28,28,2520,28.0,44,1.57,132,95,71.2,11,7,10,7,25.0,6,6,0,0,0.0,Ligue 1,2019-2020,79093238158793616
60,Montpellier,3,28,28,2517,28.0,34,1.22,126,97,75.4,11,7,10,8,28.6,5,3,1,1,25.0,Ligue 1,2019-2020,32434714471076965
61,Nantes,2,28,28,2520,28.0,31,1.11,97,69,71.1,11,4,13,10,35.7,6,3,2,1,40.0,Ligue 1,2019-2020,25802633648495862
62,Napoli,2,38,38,3420,38.0,50,1.32,129,82,66.7,18,8,12,7,18.4,8,7,1,0,12.5,Serie A,2019-2020,10516137814401134
63,Newcastle Utd,1,38,38,3420,38.0,58,1.53,190,134,70.5,11,11,16,11,28.9,2,2,0,0,0.0,Premier League,2019-2020,29528772732587842
64,Nice,2,28,28,2520,28.0,38,1.36,135,104,75.6,11,8,9,4,14.3,7,5,1,1,16.7,Ligue 1,2019-2020,11720969662561653
65,Nîmes,2,28,28,2520,28.0,44,1.57,120,81,66.7,7,6,15,7,25.0,4,4,0,0,0.0,Ligue 1,2019-2020,83514802313158576
66,Norwich City,3,38,38,3420,38.0,75,1.97,201,129,64.7,5,6,27,5,13.2,7,4,3,0,42.9,Premier League,2019-2020,42809968147687487
67,Osasuna,3,38,38,3418,38.0,54,1.42,138,87,64.5,13,13,12,11,28.9,5,5,0,0,0.0,La Liga,2019-2020,83352675823776457
68,Paderborn 07,2,34,34,3060,34.0,74,2.18,179,111,60.9,4,8,22,5,14.7,5,4,1,0,20.0,Bundesliga,2019-2020,13210847894253626
69,Paris S-G,4,27,27,2430,27.0,24,0.89,82,57,70.7,22,2,3,14,51.9,0,0,0,0,0.0,Ligue 1,2019-2020,11177590892093073
70,Parma,2,38,38,3420,38.0,57,1.5,201,148,75.1,14,7,17,6,15.8,11,7,3,1,30.0,Serie A,2019-2020,62695319081093388
71,RB Leipzig,2,34,34,3060,34.0,37,1.09,122,84,71.3,18,12,4,10,29.4,2,2,0,0,0.0,Bundesliga,2019-2020,68159208261559796
72,Real Madrid,2,38,38,3420,38.0,25,0.66,108,84,78.7,26,9,3,19,50.0,2,2,0,0,0.0,La Liga,2019-2020,29627131003986350
73,Real Sociedad,2,38,38,3420,38.0,48,1.26,138,98,70.3,16,8,14,9,23.7,9,7,1,1,12.5,La Liga,2019-2020,57299950304530590
74,Reims,2,28,28,2520,28.0,21,0.75,87,66,78.2,10,11,7,12,42.9,6,2,3,1,60.0,Ligue 1,2019-2020,67732085073987538
75,Rennes,2,28,28,2520,28.0,24,0.86,92,72,77.2,15,5,8,10,35.7,5,3,2,0,40.0,Ligue 1,2019-2020,96819424452761337
