Rk,Squad,# Pl,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,League,Season,TeamID
78,Sassuolo,28,38.0,11497,15749,73.0,237238,92359,4326,5256,82.3,4939,6124,80.6,2049,3852,53.2,16,29.2,-13.2,360,1039,258,92,1242,Serie A,2017-2018,79200252522790650
79,Schalke 04,24,34.0,12031,15577,77.2,238796,83418,4473,5276,84.8,5741,6750,85.1,1695,3137,54.0,33,30.4,1.6,304,763,219,62,1003,Bundesliga,2017-2018,24345039935475884
80,Sevilla,31,38.0,15762,19975,78.9,297658,105802,6596,7749,85.1,7098,8387,84.6,1934,3392,57.0,35,39.8,-4.8,392,1312,358,75,1590,La Liga,2017-2018,22702270477938803
81,Southampton,26,38.0,14319,18666,76.7,278561,95547,6134,6987,87.8,5879,7014,83.8,2064,3988,51.8,23,31.7,-8.7,333,1131,291,87,1286,Premier League,2017-2018,21037626007536306
82,SPAL,29,38.0,12214,16025,76.2,244256,85676,4790,5578,85.9,5274,6290,83.8,1957,3620,54.1,14,20.1,-1.1,248,852,216,65,1051,Serie A,2017-2018,73622612860183040
83,Stoke City,30,38.0,10142,14374,70.6,215523,92754,4011,4890,82.0,4072,5175,78.7,1872,3761,49.8,28,25.8,3.2,276,923,233,58,997,Premier League,2017-2018,55848606059653975
84,Strasbourg,25,38.0,12322,16465,74.8,256401,92210,4469,5312,84.1,5255,6321,83.1,2358,4148,56.8,28,28.2,-2.2,309,950,252,90,1120,Ligue 1,2017-2018,92234479374253707
85,Stuttgart,26,34.0,12101,16046,75.4,248706,87143,4527,5323,85.0,5322,6386,83.3,2117,3869,54.7,22,24.1,-2.1,235,852,210,70,987,Bundesliga,2017-2018,81761661302668293
86,Swansea City,26,38.0,13270,17180,77.2,266786,92897,5559,6291,88.4,5174,6179,83.7,2272,4038,56.3,20,18.4,0.6,212,942,207,55,1012,Premier League,2017-2018,11897392087106032
87,Torino,27,38.0,14425,18316,78.8,285051,97128,5647,6531,86.5,6306,7434,84.8,2235,3723,60.0,36,34.8,5.2,341,971,307,75,1214,Serie A,2017-2018,21846272194836439
88,Tottenham,25,38.0,19287,23469,82.2,379549,121395,7446,8402,88.6,8701,9964,87.3,2837,4366,65.0,51,47.9,3.1,449,1622,395,73,1837,Premier League,2017-2018,22006624071753704
